content,timestamp,platform,stock_name,label
,2023-12-28T11:33:59+09:00,toss,삼성전자,
수량 조금씩 늘리기,2025-02-21T00:26:22+09:00,toss,삼성전자,
고수들에게 돈다털린다,2024-11-18T11:31:49+09:00,toss,삼성전자,
진짜개씨레기주식,2023-08-03T14:45:01+09:00,toss,삼성전자,
외인들 50 이하로는 던진 적 없으니 그쯤까지는 관망,2024-09-19T11:46:21+09:00,toss,삼성전자,
자기 돈 다 잃어도 굳건하게 삼성 풀매수 하고 홀딩하는 애국자 분들한테 무슨 모욕이냐,2024-11-29T09:09:41+09:00,toss,삼성전자,
혹시 아빠가  이럴때 쓰라고 쥐어준 빨간주머니 파란 주머니 노란 주머니 이런거 없어요,2025-02-21T09:35:50+09:00,toss,삼성전자,
주린이입니다 오늘 상한가 가나여,2024-09-20T08:57:49+09:00,toss,삼성전자,
다른거랑 비교질안하고 헛소리 안지끼고 진득하게 기다리고 있을께,2024-12-18T10:24:25+09:00,toss,삼성전자,
5만원초반까지 열러있다 생각하고 분할매수 하셈,2024-09-11T13:53:58+09:00,toss,삼성전자,
HBM,2023-09-01T09:57:10+09:00,toss,삼성전자,
근데 아무리생각해도 6만원에 있을 주식은 아님 6만 오천원정도는 올려줘야지,2024-10-08T14:23:38+09:00,toss,삼성전자,
영차영차 가즈아,2025-02-10T16:07:50+09:00,toss,삼성전자,
물타기 계속,2024-12-10T12:32:56+09:00,toss,삼성전자,
httpsimnewspickr9pPuWAs,2024-05-13T14:17:41+09:00,toss,삼성전자,
80층 시대가 다시 오기는 할까요,2025-02-18T13:12:02+09:00,toss,삼성전자,
추석이후에 반등하길,2024-09-13T15:05:28+09:00,toss,삼성전자,
7만 한번 뚫자,2025-02-27T12:13:20+09:00,toss,삼성전자,
전강후약,2024-09-26T09:39:42+09:00,toss,삼성전자,
형 힘내 할수잇어,2025-02-07T14:52:08+09:00,toss,삼성전자,
"진짜로 그랬으면 국내 모든 언론 동원해서 칩 납품한다고 소리 악악 질렀어

숨길이유가 없는 소식인데 굳이 말 안하겠음",2024-10-31T10:59:51+09:00,toss,삼성전자,
