content,timestamp,platform,stock_name,label
아직은 무섭다 한 몇일관망해야지,2024-12-04T11:35:16+09:00,toss,삼성전자,
"그만 팔아요 제발
우리 조금만 더 같이 참아보아요
8만 보고싶습니다",2023-09-14T14:18:20+09:00,toss,삼성전자,
,2024-12-12T14:20:47+09:00,toss,삼성전자,
지금 구매 대기걸어놓으면 언제 사져요,2024-09-25T16:05:17+09:00,toss,삼성전자,
61입주  총알장전대기 일단 100주만샀으 삼전가즈아,2024-10-04T14:28:27+09:00,toss,삼성전자,
"6만간다
글고 6만넘으면 7만도 금방감

개미털고",2024-11-18T08:59:24+09:00,toss,삼성전자,
삼성은 단단하내요 개인만 허겁지겁 판듯,2024-12-09T16:28:25+09:00,toss,삼성전자,
으짠다고,2024-11-11T20:00:42+09:00,toss,삼성전자,
진짜 욕밖에 안나와,2024-11-12T13:18:14+09:00,toss,삼성전자,
"폰은 z플립 티비도삼성 냉장고도 삼성 컴퓨터
모니터도 삼성이다 삼성 빠른회복했으면 좋겠다",2024-10-25T19:24:09+09:00,toss,삼성전자,
M7기술 정착하는데 15년 걸려,2025-01-17T12:12:53+09:00,toss,삼성전자,
어제 호재도 있고 외인이 매집하는거보면 갈만할듯,2024-03-20T09:28:07+09:00,toss,삼성전자,
담주 7만가면 다시 판다이번달 이걸로 재미좀 봤다,2023-10-26T10:30:04+09:00,toss,삼성전자,
운전을,2024-04-09T15:07:26+09:00,toss,삼성전자,
"2시간전에 말씀드린대로 20일선위에
안착하는 삼성전자A005930입니다  
내일도 기대해볼수 있으며 
매물들을 어느정도 소화하고 내려왔기에
빠르게 치고올라갈수도 있다고 생각됩니다

오늘 주식장도 수고하셨습니다 여러분",2023-07-11T15:59:56+09:00,toss,삼성전자,
"주식고수는 삼성사는사람이 아니라
국장을 안하는게 주식고수여",2024-09-23T13:55:42+09:00,toss,삼성전자,
주식은 눈치 빠른 사람이 먹더라,2025-03-19T10:17:25+09:00,toss,삼성전자,
와 살려주세요,2024-09-23T09:21:16+09:00,toss,삼성전자,
657정도 예상하는데 내일 한번은 반등하겠죠,2024-08-05T11:06:35+09:00,toss,삼성전자,
아직도 삼전들고있으면 어떡하냐,2024-09-11T11:02:47+09:00,toss,삼성전자,
아이고 삼전아,2024-05-29T16:56:52+09:00,toss,삼성전자,
외인놈들 오전에 페이크였구만,2025-02-12T13:06:25+09:00,toss,삼성전자,
