content,timestamp,platform,stock_name,label
혼자 벌어 연봉 16억,2024-12-06T21:45:41+09:00,toss,삼성전자,
일부 손절,2025-01-07T17:23:37+09:00,toss,삼성전자,
자랑하기 부끄러운데 뭘 자꾸 자랑하래,2024-08-23T08:37:57+09:00,toss,삼성전자,
"미안해삼전아
돈많이벌어서 꼭 올게",2023-05-30T15:04:09+09:00,toss,삼성전자,
"에이 5만 전자가겠어 에이 4만전자 가겠어

에이 3만전자 가겠어",2024-10-24T18:04:15+09:00,toss,삼성전자,
,2024-08-30T15:32:18+09:00,toss,삼성전자,
6만전자 가자,2025-03-18T09:16:33+09:00,toss,삼성전자,
장대양봉이서야되는데,2024-10-07T15:11:03+09:00,toss,삼성전자,
요즘 아지매들 애국차원에서 삼전 1주 사기 운동 하고 있어요,2024-10-11T12:34:41+09:00,toss,삼성전자,
"탄핵안 결과적으로 부결
표 때문에 부결이 말이되냐",2024-12-08T13:06:24+09:00,toss,삼성전자,
얼마만에 매수인지,2024-12-02T12:59:44+09:00,toss,삼성전자,
마지막 저항 7800 이거 완전 뚫리면 7600원대 진입입니다,2024-05-17T10:41:25+09:00,toss,삼성전자,
"생각해봐 형들 1년동안 삼전에 호재란게 있었는지

반도체 스마트폰 가전 전부 경쟁력이 떨어지고 있다는 이야기 뿐이잖아",2025-01-17T09:50:00+09:00,toss,삼성전자,
내일 미리 애도,2024-12-03T23:54:31+09:00,toss,삼성전자,
그냥 어이가 없노,2024-11-15T12:41:26+09:00,toss,삼성전자,
주린이라,2024-02-26T14:07:42+09:00,toss,삼성전자,
외인들 던지는게 후덜덜하네,2024-09-05T15:18:42+09:00,toss,삼성전자,
"아하
삼전만 아니면 플러스인데 63층 진입후회 됩니다
다들 평탄들이어떻게 되세요",2024-11-06T09:53:17+09:00,toss,삼성전자,
"일주일내내 물탓는데
모한거야",2024-09-30T15:35:44+09:00,toss,삼성전자,
대주주 삼전은 지금 저점이다 차라리 확률적으로 보면 안전하게 갈려면 삼전이 음,2024-11-26T11:21:46+09:00,toss,삼성전자,
"옷 한벌 만들겠슴둥
미싱질에 눈이 아픔",2023-08-29T15:08:24+09:00,toss,삼성전자,
"탈출에 만족해야겠네요
주주분들 맘고생 많이들하셨어용",2023-12-27T13:28:42+09:00,toss,삼성전자,
진짜 줘팰까 이거,2025-01-31T12:08:07+09:00,toss,삼성전자,
전현직 직원  채용해서 파운드리 함 해봐라  매모리만들던 제조기술로는 다양한 시스템 반도체에 대응하긴 어려움이 있다,2024-10-09T10:23:09+09:00,toss,삼성전자,
"살다보면 내리막길도 있고 오르막길도 있고 슬픈과 좌절이 있을때가 있습니다 분명 좋은날도 있지만 행복하지 않은날도 있고 숨쉬며 살아가는 감사함과 소중한 인연들과 함께하는 시간들의 감사함 늘 그렇듯
인생은 늘 배움이 있기에 시련은 있어도 실패는 없습니다",2024-12-20T09:36:49+09:00,toss,삼성전자,
이런 기사뜨니 당분간 안오르겠네,2023-07-10T09:59:27+09:00,toss,삼성전자,
제발 오늘은 빨강으로,2024-09-19T14:02:10+09:00,toss,삼성전자,
콘크리트 부어 놨어요,2025-01-23T11:43:22+09:00,toss,삼성전자,
지금 사두면 상당히 좋을 듯,2024-04-19T14:18:52+09:00,toss,삼성전자,
계엄령 국장,2024-12-03T23:19:06+09:00,toss,삼성전자,
태초마을 지겹다 좀 올라봐라,2025-01-10T11:07:26+09:00,toss,삼성전자,
