content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
국장 몆명애들 그래프가 똑같네,2024-08-05 08:30:49+00:00,toss,삼성전자,19816522.0,2.4611181541594456e-100,,0.0,0.0,1.0,"감정이 드러나지 않고, 단순한 관찰이나 정보 공유의 성격을 띔"
"삼성은 그냥 아무 이유없이 모아봄
주식공부중",2024-10-15 02:58:47+00:00,toss,삼성전자,13702044.0,1.3362927753965185e-69,,0.0,0.0,1.0,"투자에 대한 고민이나 정보 공유의 내용으로, 감정 표현이 없음"
바닥이 어데공,2024-11-12 00:06:51+00:00,toss,삼성전자,11293160.0,1.7151146510202165e-57,,0.7,0.0,0.3,"비관적인 어조와 함께 바닥을 찾는 표현은 주식의 하락에 대한 불안감을 나타내며, 공포를 의미한다. 하지만, 명확한 감정 표현이 없어 중립적 요소도 일부 포함됨."
뭐니,2025-01-07 02:57:46+00:00,toss,삼성전자,6444505.0,4.039535976452729e-33,,0.0,0.0,1.0,"감정이 명확하게 드러나지 않고, 특정한 감정을 표현하는 키워드나 어조가 없으므로 중립으로 판단"
뭐하냐 사만전자 안가고 입 쭈아아압 벌리고 대기중이다 빨리 사만전자 가라,2024-11-14 01:16:27+00:00,toss,삼성전자,11116184.0,1.3300654753780986e-56,,0.0,0.9,0.1,"흥분과 긍정적 기대감이 표현되었으며, 종목의 상승을 강하게 기대하는 태도가 드러남"
"역시 대한민국에서 믿을건 부동산뿐이다
부동산 불패 부동산만이 모든것을 능가한다
주식하지말구 부동산에 올인하자
그것만이 살길이다",2024-11-13 01:41:13+00:00,toss,삼성전자,11201098.0,4.977921018445266e-57,,0.0,0.9,0.1,"문장에서 부동산에 대한 과도한 기대감과 자신감이 표현되어 있으며, 주식에 대한 부정적인 언급이 있지만 이는 주식보다 부동산에 대한 탐욕을 강조하기 위한 것으로 해석됨. 중립적인 요소는 거의 없으나, 전체적인 투자에 대한 판단이 드러나지 않아 소량의 중립 점수 부여."
끝내는 55가 깨졌구나,2025-02-28 04:09:41+00:00,toss,삼성전자,1947390.0,1.626799876002726e-10,,0.7,0.0,0.3,"체념의 어조와 주가 하락에 대한 반응이 포함되어 있으나, 강한 감정 표현이나 비속어는 사용되지 않았기 때문에 공포 점수를 높게, 중립 점수를 낮게 설정함."
개잡주,2025-02-06 07:55:16+00:00,toss,삼성전자,3834655.0,5.3074996113164915e-20,,0.7,0.0,0.3,"비속어 사용으로 종목에 대한 비판적인 태도가 드러나며, 이는 공포 감정의 표현으로 볼 수 있으나, 구체적인 감정의 정도를 명확히 알 수 없어 중립 점수도 일부 할당함"
다들 떡상가야쥬,2023-05-30 00:13:29+00:00,toss,삼성전자,57257562.0,1.5546382678552865e-288,,0.0,0.9,0.1,흥분과 긍정적 기대감을 표현하는 '떡상' 키워드 사용
주주는 아니지만 대한민국 국민으로서 뿌듯합니다,2025-02-10 05:19:54+00:00,toss,삼성전자,3498377.0,2.6014191859375732e-18,,0.0,0.0,1.0,"감정이 명확하게 드러나지 않고, 특정 종목이나 시장에 대한 평가 없이 일반적인 긍정적인 반응을 표현함"
이게 맞지 이게 잘된 국장이지 미주는 두배씩 가는데 혼자 빌빌대는게 맞냐 9만원 뚫자,2024-04-02 02:52:11+00:00,toss,삼성전자,30636840.0,1.0050615320201123e-154,,0.7,0.1,0.2,"불만과 비관적인 어조로 인한 높은 공포 점수, 소소한 탐욕의 표현과 일부 중립적 고민이 반영됨"
"노키 아
피처폰의 대명사

2010년 이전까지 휴대폰 판매 세계 1위였죠
한 때는 글로벌 시장 점유율 40

우리 삼성이가 월드클래스인데
반도체만 파는거 아닌데 엔비디아 따라서 주가 움직이고 속상하더라고요

우리 삼성이는 모바일폰 가전도 팝니다

비록 한 때의 영광 기업이었지만
핀란드의 자존심 노키아 인수해랏



httpsitchosuncomnewsarticleViewhtmlidxno2023092122453",2024-08-30 07:07:03+00:00,toss,삼성전자,17661548.0,1.6719798474933328e-89,,0.1,0.1,0.8,"주로 정보 공유와 회상, 삼성에 대한 기대감이 약간 포함되어 있으나 감정 표현이 강하지 않음"
삼전올라가즈아,2024-10-23 04:31:14+00:00,toss,삼성전자,13005297.0,4.247562564902869e-66,,0.0,0.9,0.1,유행어 '가즈아'를 사용하여 종목의 상승에 대한 과도한 기대감과 흥분이 드러남
"차라리 더 박아라
추매나 하게",2024-09-11 02:23:12+00:00,toss,삼성전자,16641779.0,2.23438258399382e-84,,0.2,0.6,0.2,"비관적인 어조로 시작하지만, 추매(추가 매수)를 언급하여 탐욕의 요소가 강함. 중립적인 요소도 일부 포함."
엘지보다 더한놈들,2025-02-03 01:02:21+00:00,toss,삼성전자,4118630.0,1.9836890131479472e-21,,0.7,0.0,0.3,"비판적 어조로 종목에 대한 불만을 표현하고 있으나, 구체적인 감정 표현이나 키워드가 부족하여 공포 점수를 높게, 중립 점수를 낮게 설정"
"내말이 맞제
2시 넘어가면 삐진디고 했지
치사한 놈들",2024-09-06 05:36:01+00:00,toss,삼성전자,17062210.0,1.72122386993618e-86,,0.7,0.0,0.3,"비관적 어조와 비속어 사용으로 공포 감정이 주를 이루며, 일부 중립적 해석 가능성 있음"
어제 물타야햇다,2024-11-15 05:00:30+00:00,toss,삼성전자,11016341.0,4.224151652784384e-56,,0.1,0.1,0.8,"투자에 대한 후회나 불만을 간접적으로 표현했으나, 강한 감정 표현이나 구체적인 상황 설명이 없어 중립에 더 가깝다고 판단"
"자사주 매입 한번만 더 해주십쇼
충성충성",2024-10-17 00:24:28+00:00,toss,삼성전자,13538503.0,8.870532625727948e-69,,0.0,0.7,0.3,"자사주 매입을 요청하는 문장은 긍정적인 기대감과 탐욕을 나타내며, '충성충성'은 긍정적인 태도를 보여준다. 하지만, 구체적인 감정 표현이나 강한 탐욕의 표현이 아니기 때문에 탐욕 점수를 완전히 높게 설정하지 않았다."
오늘 거래량이 붙네,2024-10-25 00:07:39+00:00,toss,삼성전자,12848312.0,2.613567718301777e-65,,0.0,0.0,1.0,감정 표현 없이 단순한 정보 공유
"이재명 주로 갈아탈까 친중관련이나 
친미 반도체 이쪽은 좌파집권이면 좀 어렵지 않을까",2024-12-04 11:04:13+00:00,toss,삼성전자,9352918.0,9.705752228301688e-48,,0.2,0.0,0.8,"고민과 추측이 주를 이루며, 특정한 감정 표현보다는 투자에 대한 고민과 조건부 추측이 드러남"
"삼전의 그많은 연구원들은 대체 뭘 연구하고 잇을까

내 사촌형이 삼전 연구원인데 듣기로는 회의도중에 상사분이 빡쳐서 나갓다는데",2024-09-20 06:16:40+00:00,toss,삼성전자,15850171.0,2.129216770638393e-80,,0.1,0.0,0.9,"첫 번째 문장은 삼성전자 연구원들의 활동에 대한 궁금증을 표현하고 있으며, 두 번째 문장은 개인적인 에피소드 공유로 감정 표현이 미미하다. 공포나 탐욕보다는 정보 공유나 궁금증에 가까운 중립적 내용이 주를 이루고 있다."
가자 가자 화이팅,2024-11-18 01:40:19+00:00,toss,삼성전자,10769152.0,7.38327385260165e-55,,0.0,0.9,0.1,"응원과 긍정적인 어조를 통해 탐욕의 감정이 높게 나타나며, 감정의 표현이 강조되어 있지만, 구체적인 투자 내용이나 매수 충동을 직접적으로 언급하지 않아 소량의 중립적 점수를 부여함"
21년도 불장하고 정확히 리버스인게 진짜 개웃김,2024-10-10 02:15:48+00:00,toss,삼성전자,14136623.0,8.739080134084012e-72,,0.1,0.1,0.8,"문장에서 비관적이거나 낙관적인 감정보다는 시장 상황에 대한 풍자적, 비판적 관찰이 주를 이루고 있으므로 중립적인 태도가 더 강함"
