text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
기분좋게 시작~❤️,기분좋게 시작,기분좋게 시작,2025-03-21T09:14:20+09:00,0.0225,0.6881,0.2894,1
ㅋㅋㅋ,,ㅋㅋㅋ,2025-03-12T11:58:59+09:00,0.024,0.9629,0.0131,1
6만 삼성 낯설다 너 5만 에서 기달릴께....,6만 삼성 낯설다 너 5만 에서 기달릴께,6만 삼성 낯설다 너 5만 에서 기달릴께....,2025-03-20T14:25:36+09:00,0.0366,0.8938,0.0696,1
전설로만 듣던 4만전자.. 내가 이걸 보다니,전설로만 듣던 4만전자 내가 이걸 보다니,전설로만 듣던 4만전자.. 내가 이걸 보다니,2024-11-14T16:50:22+09:00,0.0559,0.8903,0.0538,1
사과는 너무 이기적이고 자기만 알아  지네꺼만 쓰게하려고 사과 아닌  다른건 너무 배타적이고 그래도 그나마 삼전은 달라. 삼전은 착해 어찌보면 두루두루 다 같이 잘되자 월드피스 하고. 난 그래서 좋아 밉지만 너란 삼전 :D 국장이든 미장이든 개장이든 게장이든. 장은 숙성 될 수록 맛있자나 그치? 👍,사과는 너무 이기적이고 자기만 알아 지네꺼만 쓰게하려고 사과 아닌 다른건 너무 배타적이고 그래도 그나마 삼전은 달라 삼전은 착해 어찌보면 두루두루 다 같이 잘되자 월드피스 하고 난 그래서 좋아 밉지만 너란 삼전 D 국장이든 미장이든 개장이든 게장이든 장은 숙성 될 수록 맛있자나 그치,사과는 너무 이기적이고 자기만 알아 지네꺼만 쓰게하려고 사과 아닌 다른건 너무 배타적이고 그래도 그나마 삼전은 달라. 삼전은 착해 어찌보면 두루두루 다 같이 잘되자 월드피스 하고. 난 그래서 좋아 밉지만 너란 삼전 D 국장이든 미장이든 개장이든 게장이든. 장은 숙성 될 수록 맛있자나 그치?,2025-01-08T22:52:42+09:00,0.1181,0.7075,0.1744,1
외국인꺼 흡수 가쥬앗,외국인꺼 흡수 가쥬앗,외국인꺼 흡수 가쥬앗,2024-09-30T15:19:48+09:00,0.0608,0.8789,0.0603,1
올리자!!,올리자,올리자!!,2024-08-13T08:11:48+09:00,0.028,0.1311,0.8409,2
어제 파니까 오르네 레전드,어제 파니까 오르네 레전드,어제 파니까 오르네 레전드,2024-12-18T12:05:26+09:00,0.2527,0.3144,0.4329,2
메가커피 감사,메가커피 감사,메가커피 감사,2023-09-01T14:26:42+09:00,0.0262,0.8899,0.0839,1
위에 무덤이 ㅋㅋㅋ,위에 무덤이,위에 무덤이 ㅋㅋㅋ,2024-07-05T11:39:52+09:00,0.0532,0.9161,0.0307,1
"투자를하시는건가요?
투기를하시는건가요?
대출 받아 투기 하십니까?
그럼 삼성은포기하세요
삼성 이분야에 대장주 입니다
장기투자 권장합니다
단시간 올랐네 내렸네 징징 대지 마세요
혹시 단투 원하시면 말씀 하세요
알려드릴께요",투자를하시는건가요 투기를하시는건가요 대출 받아 투기 하십니까 그럼 삼성은포기하세요 삼성 이분야에 대장주 입니다 장기투자 권장합니다 단시간 올랐네 내렸네 징징 대지 마세요 혹시 단투 원하시면 말씀 하세요 알려드릴께요,투자를하시는건가요? 투기를하시는건가요? 대출 받아 투기 하십니까? 그럼 삼성은포기하세요 삼성 이분야에 대장주 입니다 장기투자 권장합니다 단시간 올랐네 내렸네 징징 대지 마세요 혹시 단투 원하시면 말씀 하세요 알려드릴께요,2025-03-20T15:52:50+09:00,0.4227,0.2541,0.3232,0
그닥 기대도 안하고 있었는데...9만갈 기세인데? -_-,그닥 기대도 안하고 있었는데9만갈 기세인데,그닥 기대도 안하고 있었는데...9만갈 기세인데? _,2024-08-16T15:22:54+09:00,0.0574,0.8101,0.1325,1
ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋ,2024-03-11T09:05:13+09:00,0.0242,0.9626,0.0132,1
외인 다시 파네?,외인 다시 파네,외인 다시 파네?,2024-11-15T09:55:05+09:00,0.0994,0.8466,0.054,1
"정말 삼성만큼 우리나라에서 그나마 주주 챙기는 기업 없습니다. 배당 꾸준하게 변동 없이 챙겨주지, 한번은 특별 배당도 크게 줬었지, 잘 모르시던 분들도 있겠지만 2000년도 초반부터 꾸준히 자사주 매입 및 소각을 해왔습니다. 그렇게 찬양하는 미국 증시에도 이런 기업 몇 없습니다.. 환율도 높은 부분인 지금,삼성을 필두로 국내 증시에 훈풍이 불어왔으면 좋겠네요. 그래도 사랑하는 우리 나라잖아요?",정말 삼성만큼 우리나라에서 그나마 주주 챙기는 기업 없습니다 배당 꾸준하게 변동 없이 챙겨주지 한번은 특별 배당도 크게 줬었지 잘 모르시던 분들도 있겠지만 2000년도 초반부터 꾸준히 자사주 매입 및 소각을 해왔습니다 그렇게 찬양하는 미국 증시에도 이런 기업 몇 없습니다 환율도 높은 부분인 지금삼성을 필두로 국내 증시에 훈풍이 불어왔으면 좋겠네요 그래도 사랑하는 우리 나라잖아요,"정말 삼성만큼 우리나라에서 그나마 주주 챙기는 기업 없습니다. 배당 꾸준하게 변동 없이 챙겨주지, 한번은 특별 배당도 크게 줬었지, 잘 모르시던 분들도 있겠지만 2000년도 초반부터 꾸준히 자사주 매입 및 소각을 해왔습니다. 그렇게 찬양하는 미국 증시에도 이런 기업 몇 없습니다.. 환율도 높은 부분인 지금,삼성을 필두로 국내 증시에 훈풍이 불어왔으면 좋겠네요. 그래도 사랑하는 우리 나라잖아요?",2024-11-15T18:27:50+09:00,0.1124,0.6422,0.2454,1
모두들 몇주가 목표예요 ^?^,모두들 몇주가 목표예요,모두들 몇주가 목표예요 ?,2023-08-28T12:53:45+09:00,0.0793,0.8852,0.0355,1
올라가는건 6달 내려오는건 1주일 기가 막힌다,올라가는건 6달 내려오는건 1주일 기가 막힌다,올라가는건 6달 내려오는건 1주일 기가 막힌다,2023-07-07T11:55:05+09:00,0.2919,0.3614,0.3467,1
이건 장난질이다.,이건 장난질이다,이건 장난질이다.,2024-10-25T14:21:35+09:00,0.1178,0.784,0.0982,1
단타로 마지막 3마넌 까지 먹고갑니다^^,단타로 마지막 3마넌 까지 먹고갑니다,단타로 마지막 3마넌 까지 먹고갑니다,2025-03-17T11:33:36+09:00,0.0424,0.4662,0.4914,2
후 매수 참길잘했당 좀만더 내려가쥬아~,후 매수 참길잘했당 좀만더 내려가쥬아,후 매수 참길잘했당 좀만더 내려가쥬아,2024-08-06T11:26:26+09:00,0.3006,0.116,0.5834,2
감사합니다,감사합니다,감사합니다,2023-09-01T13:40:25+09:00,0.0166,0.9577,0.0257,1
"개인들이 사고
외인들이 매도하니
아직 내리막길이네요ㅠㅠ",개인들이 사고 외인들이 매도하니 아직 내리막길이네요,개인들이 사고 외인들이 매도하니 아직 내리막길이네요ㅠㅠ,2024-11-15T01:51:46+09:00,0.5738,0.2107,0.2154,0
???,,???,2025-03-17T09:13:02+09:00,0.0263,0.9584,0.0154,1
비트코인은 1억 거의다왓는데 얘는...,비트코인은 1억 거의다왓는데 얘는,비트코인은 1억 거의다왓는데 얘는...,2024-02-29T15:42:26+09:00,0.1276,0.8132,0.0593,1
ㅋㅋㅋ아니 삼성이 뭔 애플 대항마에 이번 아이폰16은 망했네 뭐네 하더니ㅋㅋㅋ어휴 삼성은 그냥 방송사 신문사 찌라시 배포 툴 그이상 그이하도 아니었네… 답답하다,아니 삼성이 뭔 애플 대항마에 이번 아이폰16은 망했네 뭐네 하더니어휴 삼성은 그냥 방송사 신문사 찌라시 배포 툴 그이상 그이하도 아니었네 답답하다,ㅋㅋㅋ아니 삼성이 뭔 애플 대항마에 이번 아이폰16은 망했네 뭐네 하더니ㅋㅋㅋ어휴 삼성은 그냥 방송사 신문사 찌라시 배포 툴 그이상 그이하도 아니었네 답답하다,2024-11-23T09:52:11+09:00,0.3615,0.5223,0.1162,1
오늘 니가  빨개도  나 퍼런데...     힘내라!!,오늘 니가 빨개도 나 퍼런데 힘내라,오늘 니가 빨개도 나 퍼런데... 힘내라!!,2023-08-30T09:57:24+09:00,0.0693,0.7981,0.1326,1
삼전구매 조용히 있어야지...,삼전구매 조용히 있어야지,삼전구매 조용히 있어야지...,2024-10-21T14:54:59+09:00,0.0607,0.8427,0.0967,1
5만전자,5만전자,5만전자,2024-09-13T11:46:26+09:00,0.0316,0.9491,0.0193,1
첫 주식 삼성 나도두달간 횡보하다 답답해서 나왔는데 ㅋㅋ 역시는역시.. 변하질않네,첫 주식 삼성 나도두달간 횡보하다 답답해서 나왔는데 역시는역시 변하질않네,첫 주식 삼성 나도두달간 횡보하다 답답해서 나왔는데 ㅋㅋ 역시는역시.. 변하질않네,2025-03-10T15:41:08+09:00,0.2385,0.619,0.1425,1
하닉에서 넘어온다,하닉에서 넘어온다,하닉에서 넘어온다,2024-06-20T10:49:53+09:00,0.1205,0.7422,0.1373,1
팍 솟았다가 쫙..,팍 솟았다가 쫙,팍 솟았다가 쫙..,2024-10-23T09:42:37+09:00,0.1306,0.7022,0.1673,1
튀어,튀어,튀어,2023-08-18T09:01:33+09:00,0.0407,0.9343,0.0251,1
"혹시 여러분은 수익화 후 조정오면 다시 진입
아니면 그냥 조정와도 갯수늘리기 어디에 초점을 두시나요.?

익절 후 재진입시 수량은 더 많어질 수도 적어질 수도..",혹시 여러분은 수익화 후 조정오면 다시 진입 아니면 그냥 조정와도 갯수늘리기 어디에 초점을 두시나요 익절 후 재진입시 수량은 더 많어질 수도 적어질 수도,혹시 여러분은 수익화 후 조정오면 다시 진입 아니면 그냥 조정와도 갯수늘리기 어디에 초점을 두시나요.? 익절 후 재진입시 수량은 더 많어질 수도 적어질 수도..,2024-01-02T17:25:18+09:00,0.2161,0.2086,0.5754,2
정성이  부족하구나,정성이 부족하구나,정성이 부족하구나,2024-10-25T11:33:53+09:00,0.0382,0.9271,0.0346,1
"1. 자사주 매입을 한다.
2.상장폐지한다.
3.경영권 싸움으로 공개매수 한다.
4.CEO를 교체한다.",1 자사주 매입을 한다 2상장폐지한다 3경영권 싸움으로 공개매수 한다 4CEO를 교체한다,1. 자사주 매입을 한다. 2.상장폐지한다. 3.경영권 싸움으로 공개매수 한다. 4.CEO를 교체한다.,2024-10-04T14:56:47+09:00,0.2155,0.1903,0.5942,2
"하닉은 얼떨결에 공포에 판분들이
어마 무시 하기 때문에
크게 먹고 싶은 분들을 
삼전에서 헛고생 말고
하이닉스로 갑시다 고수들이 
거기서 입 딱 벌리고 있다이다",하닉은 얼떨결에 공포에 판분들이 어마 무시 하기 때문에 크게 먹고 싶은 분들을 삼전에서 헛고생 말고 하이닉스로 갑시다 고수들이 거기서 입 딱 벌리고 있다이다,하닉은 얼떨결에 공포에 판분들이 어마 무시 하기 때문에 크게 먹고 싶은 분들을 삼전에서 헛고생 말고 하이닉스로 갑시다 고수들이 거기서 입 딱 벌리고 있다이다,2024-08-02T12:15:18+09:00,0.1556,0.5613,0.2831,1
G,G,G,2024-10-19T18:57:29+09:00,0.0327,0.9518,0.0155,1
오늘인가 ㅎㅎ,오늘인가,오늘인가 ㅎㅎ,2025-02-14T08:43:26+09:00,0.0364,0.9341,0.0294,1
