content,timestamp,platform,stock_name,label
이럴려구 김건희가 마포대교 지도순찰 나간거냐,2024-11-14T23:34:49+09:00,toss,삼성전자,
추매합니다,2025-02-24T09:16:09+09:00,toss,삼성전자,
국장도 이젠 세금 붙나요,2024-07-07T15:55:11+09:00,toss,삼성전자,
"떨어질때마다 추가는 하는데 바닥이 안보이게
떨어지네 여유자금 있는분들에겐 이번이 기회가
될수도 있을거 같은데",2024-09-19T10:09:09+09:00,toss,삼성전자,
한달전에 삼전과 현차 15  손절하고 2차전지 들어간거요 삼전이라면 지긋지긋하네요 다른 분들도 현명하게 대처하시기를 3년동안 정말 신물이 났습니다,2023-07-30T17:37:53+09:00,toss,삼성전자,
비싸다쫌만 내려와라,2025-01-15T10:24:09+09:00,toss,삼성전자,
"타점 매집구간 왔나
10조자사주매입인데
왜 떨어져",2024-12-02T13:01:04+09:00,toss,삼성전자,
"삼전아 올만에 크게매수했당
내려가면 물탈 돈 충분쓰 머거보장",2024-11-11T10:51:01+09:00,toss,삼성전자,
평단 53100인데도 후달리네요 진짜 4만전자 가나,2024-11-13T18:30:57+09:00,toss,삼성전자,
"금번 내부쇄신 기대합니다
내 자식에게 삼전주식 물려주고싶어요
삼전 화이팅",2024-12-05T13:30:49+09:00,toss,삼성전자,
낼 얼마나 처 빠질까,2024-10-16T00:13:18+09:00,toss,삼성전자,
열라 깨지고 있음,2024-09-30T16:01:05+09:00,toss,삼성전자,
56900원 사지겠네,2024-10-24T14:53:01+09:00,toss,삼성전자,
"조금 오르닌까  염불들  하고  있다  
지긋히  참아야지  참지을 못하네",2025-02-20T14:19:25+09:00,toss,삼성전자,
5만은 버텼다,2025-02-03T09:01:02+09:00,toss,삼성전자,
바보이니거든요 제가 좀 애국심이 있어요,2024-12-19T12:03:26+09:00,toss,삼성전자,
무지성으로 가격 싸다고 신용매수한 사람들은 걍 파산하는게 맞지 않음,2024-10-25T10:09:41+09:00,toss,삼성전자,
"오늘까지는 보셨다가 들어오셔도 될 것 같아요
동시호가 때 헛짓거리 하는 경우가 있어서 오늘 결과보고 내일 들어오시는게 안전할듯 합니다",2024-10-28T14:41:44+09:00,toss,삼성전자,
4만원가면 1차매수,2023-06-21T12:28:19+09:00,toss,삼성전자,
