content,timestamp,platform,stock_name,label
엔비디아도 이제 거르는,2025-01-07T17:22:03+09:00,toss,삼성전자,
"나는 주식하면서 제일 이해안가는사람들
삼전은 안전해 삼전은 괜찮아 무조껀 삼전만 매수하는
삼전 무새들 
다른종목 돈 더많이벌꺼 많은데 왜 삼전에만 집착하고
매수하냐고 물어보면 저렇게 말함
주식삼전 이렇게 생각하는 사람이 너무 많다는게 참
놀라움
묵혀놓으면 오른다 라고 항상 말하던데
매일매일 들어와서 삼전 가격보더라
딱 삼전 가격만 보고 끔 다른 종목은 거들떠보도안함",2024-11-12T12:13:19+09:00,toss,삼성전자,
"전 537층 탔는데 더이상 힘들어서 
어제 내림",2025-02-13T14:19:52+09:00,toss,삼성전자,
"5층부럽다 지금이라도 탈출가능한데
7층 펜트하우스라서  용사님이 구해줄때까지
갇혀있음",2025-02-18T08:50:00+09:00,toss,삼성전자,
이제 다 샀으니까  올라가자,2024-10-23T09:38:53+09:00,toss,삼성전자,
6만전자,2025-03-17T13:07:05+09:00,toss,삼성전자,
물을 얼마나 타야될까,2024-09-30T14:04:53+09:00,toss,삼성전자,
4만초반되어도 비싸,2024-11-13T09:50:12+09:00,toss,삼성전자,
오만절자 오나,2024-09-30T20:03:48+09:00,toss,삼성전자,
에고,2023-07-21T10:04:53+09:00,toss,삼성전자,
그나저나정은이시키는무슨생각할까,2024-12-04T00:03:46+09:00,toss,삼성전자,
여기가 왜 젤 저가라고 생각이 들지이,2024-11-13T11:47:46+09:00,toss,삼성전자,
"올라갈까 말까
내려갈까 말까

솔직히 이정도 저점에서 좀 주워담아도 되는거 아닌가하는 생각도 드는데 
저항선 무너지니까 훅 내려가서 무서워잉",2024-09-10T16:53:07+09:00,toss,삼성전자,
내얼도 천만 주 넘게 팔텐데  3천 전자 가즈아,2024-10-24T22:15:12+09:00,toss,삼성전자,
내가 삼전에 투자한 돈은,2024-12-09T14:57:44+09:00,toss,삼성전자,
"오늘 같은 날 모아가는거죠
이제 200주 달성 올해안에 300주 목표",2024-04-15T15:34:57+09:00,toss,삼성전자,
근데 자사주 매입 했는데 왜 오르는거임,2024-11-18T09:07:57+09:00,toss,삼성전자,
오늘도 한 천억팔듯,2025-01-20T13:56:49+09:00,toss,삼성전자,
빠른 탈주한 나 칭찬해,2024-10-24T16:04:39+09:00,toss,삼성전자,
"더 꼬이지 말것
4년전도 10만전자 간다해놓고
목전앞에서 미끄러져 
여태 헤맸슴
그때와 지금 분위기가 엇비슷

꼬이면 몇년동안 답없으니
투자엔 정말 신중해야

국장은
너무 위험",2024-07-09T08:02:24+09:00,toss,삼성전자,
61층 살려주세요,2024-12-30T09:13:30+09:00,toss,삼성전자,
"입주
미래가치성",2024-06-14T13:08:35+09:00,toss,삼성전자,
그래도 훅 떨구지 않아서 좋다,2025-03-17T10:01:05+09:00,toss,삼성전자,
최저가 알람 보고 왔으면 개추,2024-09-30T14:01:33+09:00,toss,삼성전자,
"httpsnowdaytistorycomm155
테슬라가 결국은 삼성을 찾지 않을까요 저는 믿어봅니다 양사의 관계를 찾아봤슴다 가볍게 읽어주시면 감사하겠슴다",2025-03-18T22:26:03+09:00,toss,삼성전자,
오늘 대하락장  지옥불 열립니다,2025-01-08T02:15:52+09:00,toss,삼성전자,
진짜 머임  해도해도 너무하네 두산에너빌리티 보다 더 하내,2025-01-21T09:54:21+09:00,toss,삼성전자,
"58500원 오면 매수시작할까하는데 어떤가요
외인 파는 꼴 보니깐 더 떨어질것같긴해서요",2024-10-10T10:23:38+09:00,toss,삼성전자,
httpsyoutube9sNpIaJej2osixFDiotqvpLSPBurU,2024-10-23T15:38:44+09:00,toss,삼성전자,
"코데즈컴바인A04770 
형님들 여기 호가창 고속도로좀 내주세요",2024-08-05T10:04:49+09:00,toss,삼성전자,
나도 내가 소름 돋는다 우찌 떨어질거 예상하고 주워담지 한두번도 아니고,2024-05-29T11:16:44+09:00,toss,삼성전자,
,2024-03-13T09:36:30+09:00,toss,삼성전자,
아니 왜이렇게 떨어지냨,2024-11-12T09:32:26+09:00,toss,삼성전자,
,2023-11-06T11:31:35+09:00,toss,삼성전자,
58천까지 떨어졌네,2024-10-10T20:01:44+09:00,toss,삼성전자,
"5900 최대 고비다
쳐맞고 ko 될지
뚫고 6만 갈지
내돈 내놔",2025-03-19T09:53:07+09:00,toss,삼성전자,
트럼프인가 헤리스인가,2024-11-05T20:53:05+09:00,toss,삼성전자,
하이닉스 03배 레버리지입니다,2025-02-05T09:55:52+09:00,toss,삼성전자,
버텨줘 화이팅,2024-01-09T13:55:00+09:00,toss,삼성전자,
자 자 내일 아침 달까지 가볼까용,2024-04-15T19:10:31+09:00,toss,삼성전자,
매수 진입,2024-11-29T09:44:34+09:00,toss,삼성전자,
우주선 개발을,2023-09-01T18:01:57+09:00,toss,삼성전자,
너무하네,2025-02-14T16:33:20+09:00,toss,삼성전자,
"메타 떡락할때 저커버그는 기자회견장에서 살려달라고 닭똥같은 눈물을 흘리며 울었다
삼성전자도 그러아 한국이지미안",2024-11-13T09:40:51+09:00,toss,삼성전자,
결국 개미는 털리고 8만 후반까지 견디는 자는 이깁니다 족히 8만 후반대까지는 갑니다,2024-04-01T15:56:43+09:00,toss,삼성전자,
미쳤넹 삼전,2025-02-19T09:19:31+09:00,toss,삼성전자,
크뤽미슈,2024-06-24T17:58:50+09:00,toss,삼성전자,
54층 가자,2024-11-06T12:48:24+09:00,toss,삼성전자,
아재용옵 뭐라도 해봐,2024-11-12T09:56:37+09:00,toss,삼성전자,
올라가자,2024-12-12T13:18:24+09:00,toss,삼성전자,
댔다,2024-09-30T09:34:24+09:00,toss,삼성전자,
국장을 왜하는거지 비트코인이 더 안정적으로 수익 주고 잇는거 알지,2024-11-18T11:36:08+09:00,toss,삼성전자,
와 여긴 뭐 대놓고 단타하라고 하네요,2023-08-03T12:47:33+09:00,toss,삼성전자,
상방 하방 어쩌고 하는데 그냥 외국인이 끝도 없이 던지면 다 뭔상관이야,2024-12-16T14:05:58+09:00,toss,삼성전자,
"바닥 5300 예상
구매대기 중",2024-10-25T12:19:11+09:00,toss,삼성전자,
목표가 10만원이라매,2023-06-23T11:20:49+09:00,toss,삼성전자,
주주도 아닌사람들은 왜 어슬렁거리면서 팔아야하네마네 난리얌,2024-07-04T13:05:08+09:00,toss,삼성전자,
"날 잡아가라

숨막힌다",2024-08-15T20:10:07+09:00,toss,삼성전자,
금투세 개미들에겐 뭐 있으나 마나 뭘 따야지,2024-10-30T17:39:59+09:00,toss,삼성전자,
6만 갑니다,2024-10-31T11:11:38+09:00,toss,삼성전자,
이번달 언제까지 사면 내년 1분기 배당금 받을수 있는건가요,2024-12-18T11:36:47+09:00,toss,삼성전자,
호가창 저거 뭐냐  씁,2024-10-23T07:43:02+09:00,toss,삼성전자,
내려가면 다시 올라오겠지,2024-11-12T10:12:08+09:00,toss,삼성전자,
25년 5만원으로 끝낼꺼 아니지,2025-02-17T16:44:02+09:00,toss,삼성전자,
삼전은가망없씀가면갈수록인텔꼴남,2023-07-25T16:44:09+09:00,toss,삼성전자,
아무리그래도 6만원에서 5만원까지 내렸는데 당연히 다시 6만원 회귀해야 맞는거지 그리고 코스피 500은 욕심이고 2700까진 맞춰놓자,2024-12-15T14:07:09+09:00,toss,삼성전자,
"삼성은 이것도 저것도 아님
낸드는 중국에서 디램도 어설프고
이후 기술력도 하이닉스에 안되니 
지금보다 더 내려갈듯 합니다",2025-03-05T14:09:40+09:00,toss,삼성전자,
"일단 분할매도
가보자",2025-02-19T09:18:23+09:00,toss,삼성전자,
니넨 몇대맞아야 정신차릴래,2024-10-24T09:21:41+09:00,toss,삼성전자,
7100원에 500주,2024-01-17T12:03:26+09:00,toss,삼성전자,
이걸와버리네,2024-11-14T16:36:13+09:00,toss,삼성전자,
,2024-11-15T09:12:10+09:00,toss,삼성전자,
오늘도 하락 합니다,2024-11-14T16:06:24+09:00,toss,삼성전자,
평단이 너무 높은데 지금이라도 물 타는게 나을까요 아님 더 떨어질라나,2025-01-08T15:23:54+09:00,toss,삼성전자,
유리천장,2024-10-28T13:32:44+09:00,toss,삼성전자,
"전 삶의 목적을 내가 산 주식 양전될때까지 물타서 양봉될때 희열감이 있더라고요
그때까지 꾸준히 모아갑니다",2024-10-02T10:50:21+09:00,toss,삼성전자,
꺅,2023-05-26T12:08:59+09:00,toss,삼성전자,
10퍼센트는 먹을거야,2025-02-03T14:54:07+09:00,toss,삼성전자,
실환가,2024-11-13T13:23:58+09:00,toss,삼성전자,
개인적으로 25002550까지 내렸다 반등나올듯,2024-09-06T11:01:57+09:00,toss,삼성전자,
나인테크A267320,2025-02-12T11:22:26+09:00,toss,삼성전자,
"이딴 국내주식 뭐하러함

여기 장투할바에 급등주하나 물여서 먹으면 장투하는거 바로먹는데",2024-11-15T05:10:26+09:00,toss,삼성전자,
"대공황이다
망했어",2024-10-25T13:56:55+09:00,toss,삼성전자,
이건희 회장이 살아 돌아와서 싸대기때려도 할말이 없을듯,2024-10-25T09:16:20+09:00,toss,삼성전자,
우리 삼성 연말까지 7만은찍자,2024-11-12T17:00:44+09:00,toss,삼성전자,
Smx로 오세요,2025-01-06T15:37:29+09:00,toss,삼성전자,
이재용이 자사주 매입이 아니라 비트코인 샀으면 좀 올랐을까내kb증권 20퍼던데,2024-11-21T12:53:23+09:00,toss,삼성전자,
