content,timestamp,platform,stock_name,label
또 사만갈라고하네,2024-11-28T11:10:06+09:00,toss,삼성전자,
아멘,2024-09-30T14:06:24+09:00,toss,삼성전자,
동감 입니다,2024-04-18T18:10:09+09:00,toss,삼성전자,
"130 화 국내증시 마감 브리핑 

코스피 007
코스닥 008


전일 미증시의 상승 구도가 금일 오전장에 반영되었지만 오후로 접어들면서 상승분은 모두 반납되었습니다 


시장이 많이 조용한 이유는 


1 FOMC 금리 발표  21 목 
2 월 말 
3 실적발표 시즌 


등등 위와 같은 이슈로 인해서 시장의 분위기가 많이 조용한 상태입니다 


빅테크 종목들의 실적발표 방향성으로 인해 국내증시에도 변화가 생길 것으로 보여지고 있습니다 지금 시장의 분위기는 시간싸움이긴 합니다 


21목 FOMC 발표 이후 시장은 실적발표 등을 기반으로 상승으로 갈지  하락으로 갈지 방향성을 잡을 것으로 보여지고 있습니다  


대부분의 테마성 종목들은 일부 조정섹터를 제외한 나머지는 거래량이 동반되지 않은 하락세로 보여지고 있습니다 사실 거래량이 없는 하락은 의미없는 내용이므로 언제든지 다시 상승 구도를 보여줄 수 있는 점 참고하시길 바랍니다 


힘든시장 대응하시느라 모두 수고 많으셨습니다",2024-01-30T16:46:07+09:00,toss,삼성전자,
나왜이거 15퍼 떨어진걸로보이지,2024-10-22T09:45:33+09:00,toss,삼성전자,
"1주도 안사고 배놔라 감놔라 하는거 아니죠
진심 끈기는 통하는 법 
삼전 날고 나머지 애들도 날아오르길 

httpsyoutubecomshortszrILZ6F8Wcsi3TdEIS6WNAr9KkXC",2025-03-21T11:20:33+09:00,toss,삼성전자,
궁금하네요,2024-12-09T13:21:59+09:00,toss,삼성전자,
"외국넘들이 분명 들어올 때가
 됐는디
인내심이 대단한 넘들이구만
고수는 고수여
언젠간 들어 오겠지 이넘들
기다리는 자에게 복이 있나니",2024-11-04T11:13:57+09:00,toss,삼성전자,
"이전부터 말한 마지막 반등자리라고 생각하는 곳이다

51800원 기억하자

이번에 보라색 박스에서 단기간에 여러번 지지 후 반등이 나와줬다

단기간에 여러번이라는 것은 지지 매물대 자꾸 두드려 하방이탈 가능성이 생김을 의미한다

라스트 초록색 박스 반등  성투하자",2024-12-04T09:03:26+09:00,toss,삼성전자,
차단하기힘드네,2025-01-23T09:05:06+09:00,toss,삼성전자,
"과연
맞추면 주식고수 타이틀 받아가야 함",2024-04-02T10:48:48+09:00,toss,삼성전자,
한쿡에도 공매도가 이씀니꽈,2024-10-27T02:56:35+09:00,toss,삼성전자,
"장난질에 속지마시고 줍줍하시죠

물론삼전말구요",2024-12-12T15:31:03+09:00,toss,삼성전자,
3만전자 가자,2023-09-08T09:34:54+09:00,toss,삼성전자,
내가 어떻게 버틴건데,2025-02-18T11:28:43+09:00,toss,삼성전자,
손절  잘 친듯,2024-10-22T13:00:50+09:00,toss,삼성전자,
기사로만 봐선 면접일자  잡힌 것만으로 인텔로의 기술유출로 보는 것은 검사가 그런 것은 이해되나 고등법원 판사까지 설득된 것은 너무나간거지,2023-07-27T07:02:42+09:00,toss,삼성전자,
배당이라도주라,2024-12-24T16:47:16+09:00,toss,삼성전자,
싸게 살기회 놓첬네,2024-11-22T10:30:05+09:00,toss,삼성전자,
외인들이 산다 돈냄새 맡았어,2024-10-28T13:48:52+09:00,toss,삼성전자,
여기는 벌써 할인행사중이네,2024-10-11T16:25:20+09:00,toss,삼성전자,
하증말,2024-09-25T20:22:09+09:00,toss,삼성전자,
"83층에서  물타서 여기까지 왔네요
2년은 넘은거같은데 
돈쓸대가 있어서 팔긴해야하는데",2023-12-20T14:16:05+09:00,toss,삼성전자,
65에 던지기 걸어놓고 잊고 지내면 다 팔려있다니깐,2024-10-23T15:59:24+09:00,toss,삼성전자,
"애국심 버리자
돈이 걸려있어",2024-10-10T10:08:20+09:00,toss,삼성전자,
"너 팔아서 s25 사는데 보태려고 했는데 
보내주지를 않네",2025-01-24T15:10:54+09:00,toss,삼성전자,
하이닉스는 날아가는데,2024-09-23T16:35:00+09:00,toss,삼성전자,
