content,timestamp,platform,stock_name,label
예산안 간첩죄 탄핵안  보고도 선동당하니 에휴  그 머리로 주식은 어떻게 하는건지,2024-12-15T11:05:32+09:00,toss,삼성전자,
이형 왠일이여,2025-01-06T11:01:27+09:00,toss,삼성전자,
,2024-11-13T14:53:35+09:00,toss,삼성전자,
아니 왜이리 주주딱지에 목매는지몰라 넣을타이밍아니라서 안넣고있는건데,2024-11-13T18:19:47+09:00,toss,삼성전자,
혹시 다들 평단가가 어떻게 되는지 여쭤봐도 될까요,2023-07-27T14:14:48+09:00,toss,삼성전자,
유우우어어,2023-05-31T16:39:37+09:00,toss,삼성전자,
와49900원 다시 보는건가,2024-11-27T09:27:58+09:00,toss,삼성전자,
목표가,2024-11-15T16:49:24+09:00,toss,삼성전자,
2025년도 금모으기 운동,2025-01-31T17:14:13+09:00,toss,삼성전자,
왜 하이닉스랑  삼전을  자꾸  비교하는지  1도 모르겠네요,2024-08-20T21:28:06+09:00,toss,삼성전자,
"최후의 방어선은 발바닥 피부
3만전자  
이마저 무너지면 탈출",2024-10-25T10:10:49+09:00,toss,삼성전자,
주린이 삼전 다시 샀어용,2025-03-07T15:18:00+09:00,toss,삼성전자,
"이딴게 한국1위주식
한국주식 답도 없네",2024-08-05T12:25:24+09:00,toss,삼성전자,
갤럭시S25울트라가극찬이라던데 최신관련영상어디가야참고되나요,2024-12-20T16:28:06+09:00,toss,삼성전자,
내일 다시 진입,2024-04-24T17:45:51+09:00,toss,삼성전자,
목표가 하향,2024-12-11T00:14:06+09:00,toss,삼성전자,
이렇게 바로 간다구,2024-10-28T14:08:29+09:00,toss,삼성전자,
"오를 거면 화끈하게 가던가 빠질거면 쫙 빠져라
물이나 타게 
횡보가 제일 짜증",2023-07-05T09:57:40+09:00,toss,삼성전자,
진짜 욕나오네 쓰래기전자,2024-11-12T09:01:18+09:00,toss,삼성전자,
미장에서도 돈버는데 굳이 분리수거장 같은 국장은 안한다,2024-12-06T13:13:46+09:00,toss,삼성전자,
"이부진 효과는 잠시지만
대세는 변하지 않는다",2024-04-09T11:42:10+09:00,toss,삼성전자,
,2025-03-21T16:55:49+09:00,toss,삼성전자,
시작하라,2025-02-20T10:09:01+09:00,toss,삼성전자,
와진짜 그냥 아무말이나한건데 55가온다고,2025-01-03T10:22:54+09:00,toss,삼성전자,
떨굴때 확실히 떨어져라,2025-02-03T12:13:16+09:00,toss,삼성전자,
"개미 큰손선생님들
제겐 정말 큰돈입니다
떨어지지않게 부탁드려요",2024-07-02T09:12:57+09:00,toss,삼성전자,
이제 시작인가,2024-03-20T10:15:40+09:00,toss,삼성전자,
팔자마자 내려가네,2024-11-15T13:21:37+09:00,toss,삼성전자,
줄먹,2025-03-18T13:19:36+09:00,toss,삼성전자,
다시 밥먹고 다시와야지,2025-01-07T13:05:32+09:00,toss,삼성전자,
또속았네  아놔,2025-01-21T09:27:08+09:00,toss,삼성전자,
"주린이가 지켜야 할 것들

1 토스 커뮤니티 보고 따라사지 않는다
2 토스 커뮤니티에 대주주 상위n 있는 것 보고 따라사지 않는다
3 토스 커뮤니티 댓들을 믿지 않는다
4 진짜 주식을 잘하는 사람은 토스증권을 쓰지 않음을 기억한다
5 내가 주식을 샀다는 것은 누군가는 팔았다는 것이고 그럼 둘 중에 한 명은 잘못했다는 것이다 10에 9는 주린이가 잘못한거

결론 토스 커뮤니티 보지 않는다",2024-09-30T14:21:36+09:00,toss,삼성전자,
삼성 숏은 없나요,2024-12-02T09:37:36+09:00,toss,삼성전자,
또 떨어지겠지,2023-08-23T09:27:36+09:00,toss,삼성전자,
