year,hour,평균_공포탐욕지수
2025.0,22.0,18.62117647058824
2025.0,5.0,19.54206896551724
2025.0,6.0,18.31272727272727
2024.0,3.0,10.13
2025.0,21.0,12.73888888888889
2025.0,23.0,13.072142857142865
2025.0,10.0,25.767878787878782
,,59.14000000000001
2024.0,5.0,3.05
2025.0,9.0,17.810000000000002
2025.0,7.0,17.404090909090908
2024.0,10.0,10.17
2024.0,23.0,15.154
2024.0,2.0,16.2825
2024.0,22.0,12.64
2025.0,8.0,9.64076923076923
2025.0,19.0,13.64333333333333
2025.0,15.0,22.41263157894737
2025.0,3.0,15.3225
2025.0,13.0,18.069565217391307
2025.0,12.0,17.362272727272725
2024.0,0.0,10.069999999999999
2025.0,4.0,20.768095238095242
2024.0,11.0,0.76
2025.0,20.0,16.99365853658536
2025.0,11.0,21.387222222222224
2024.0,15.0,40.36
2024.0,13.0,9.54
2025.0,17.0,26.34714285714285
2024.0,19.0,44.24
2025.0,1.0,12.982394366197187
2025.0,18.0,16.93093023255814
2025.0,14.0,22.059375000000003
2024.0,8.0,48.89
2025.0,2.0,15.463777777777773
2024.0,16.0,9.01
2024.0,17.0,7.765
2025.0,0.0,18.492063492063497
2025.0,16.0,24.122272727272726
