year,hour,평균_공포탐욕지수
2024.0,21.0,30.876666666666665
2024.0,7.0,8.603333333333333
2023.0,17.0,35.18666666666667
2024.0,12.0,13.286140350877195
2023.0,9.0,15.140000000000004
2025.0,22.0,3.3
2025.0,5.0,7.460000000000001
2024.0,3.0,2.98
2025.0,21.0,6.82
2025.0,10.0,20.77481481481481
,,49.7225
2024.0,5.0,10.856666666666667
2023.0,16.0,4.81
2025.0,9.0,25.499999999999993
2025.0,7.0,9.9
2024.0,9.0,19.831631205673748
2024.0,10.0,16.22360465116279
2024.0,2.0,37.82333333333333
2024.0,23.0,23.831111111111113
2024.0,22.0,39.706
2023.0,3.0,35.91
2025.0,8.0,16.495555555555555
2025.0,19.0,16.296666666666667
2025.0,15.0,20.869285714285716
2023.0,20.0,47.33
2023.0,11.0,21.917272727272724
2025.0,13.0,7.703529411764705
2023.0,18.0,24.4
2023.0,5.0,28.23
2025.0,12.0,23.05217391304348
2024.0,0.0,18.30666666666667
2024.0,1.0,15.670000000000002
2024.0,11.0,20.322638888888893
2024.0,14.0,14.838795180722888
2023.0,10.0,22.26444444444445
2025.0,20.0,7.59
2024.0,15.0,17.35295774647887
2025.0,11.0,21.162857142857142
2024.0,6.0,18.653333333333336
2024.0,13.0,20.953275862068963
2025.0,17.0,11.864285714285714
2024.0,19.0,16.956666666666663
2024.0,18.0,21.591875000000005
2025.0,1.0,23.0
2025.0,18.0,10.84
2024.0,20.0,18.834999999999997
2023.0,14.0,22.85875
2023.0,12.0,25.6125
2023.0,13.0,5.53
2025.0,14.0,13.530666666666665
2023.0,15.0,20.077999999999996
2024.0,8.0,16.270000000000007
2025.0,2.0,43.49
2024.0,16.0,16.34764705882353
2024.0,17.0,21.875999999999998
2025.0,0.0,7.199999999999999
2025.0,16.0,23.729999999999997
