year,hour,평균_공포탐욕지수
2022.0,10.0,13.938181818181818
2021.0,17.0,10.63
2024.0,21.0,4.8500000000000005
2024.0,7.0,24.114
2022.0,0.0,17.36
2023.0,17.0,19.49
2022.0,17.0,14.100000000000001
2022.0,19.0,14.81
2022.0,14.0,44.40857142857142
2021.0,8.0,19.84
2024.0,12.0,21.21315789473685
2021.0,6.0,83.85000000000001
2023.0,8.0,26.85
2023.0,9.0,11.152
2023.0,21.0,19.125
2021.0,16.0,5.14
2021.0,10.0,23.66090909090909
2025.0,22.0,6.29
2025.0,6.0,2.6700000000000004
2025.0,21.0,50.349999999999994
2025.0,23.0,4.21
2025.0,10.0,18.065384615384616
,,44.424
2021.0,18.0,5.08
2024.0,5.0,10.975000000000001
2023.0,16.0,5.955
2022.0,7.0,1.87
2021.0,11.0,18.634
2021.0,9.0,11.449473684210526
2025.0,9.0,17.039166666666667
2024.0,9.0,21.615454545454536
2024.0,10.0,17.959610389610386
2022.0,11.0,27.265
2022.0,23.0,37.949999999999996
2022.0,21.0,85.54
2024.0,23.0,15.76333333333333
2024.0,2.0,2.1399999999999997
2024.0,22.0,34.089999999999996
2021.0,12.0,15.290000000000001
2025.0,8.0,24.3075
2025.0,15.0,10.427142857142856
2023.0,20.0,29.435000000000002
2023.0,11.0,21.734
2025.0,3.0,28.62
2025.0,13.0,17.708095238095233
2023.0,22.0,92.06
2022.0,16.0,4.46
2025.0,12.0,28.12888888888889
2023.0,23.0,33.06
2024.0,0.0,28.669999999999998
2021.0,2.0,3.09
2024.0,1.0,24.044999999999998
2021.0,15.0,11.36
2024.0,11.0,15.328474576271187
2025.0,4.0,52.88
2024.0,14.0,19.704915254237285
2023.0,10.0,21.395
2022.0,1.0,67.53
2023.0,19.0,53.49
2025.0,20.0,15.18
2025.0,11.0,12.496428571428575
2024.0,15.0,17.385172413793104
2024.0,6.0,22.90875
2024.0,13.0,18.891060606060602
2021.0,13.0,17.381111111111114
2025.0,17.0,9.926666666666668
2024.0,19.0,51.17
2021.0,20.0,14.31
2024.0,18.0,28.518666666666665
2025.0,1.0,49.81
2022.0,6.0,10.74
2021.0,14.0,23.0625
2024.0,20.0,20.7225
2023.0,14.0,21.259999999999998
2022.0,13.0,19.311
2022.0,9.0,24.859411764705875
2023.0,13.0,3.876666666666667
2023.0,12.0,21.119999999999997
2022.0,20.0,66.38
2025.0,14.0,26.40454545454546
2023.0,15.0,12.790000000000001
2024.0,8.0,22.561818181818182
2022.0,15.0,15.883333333333333
2024.0,16.0,14.218333333333334
2024.0,17.0,25.622500000000002
2022.0,12.0,24.833333333333336
2022.0,8.0,9.66
2025.0,16.0,5.84
